Country,Function,Year,Spending_Per_Capita_USD
United Kingdom,Health,2022,5200
United Kingdom,Education,2022,3100
United Kingdom,Defence,2022,1800
United States,Health,2022,6200
United States,Education,2022,3400
United States,Defence,2022,2900
Germany,Health,2022,5900
Germany,Education,2022,3300
Germany,Defence,2022,2100
France,Health,2022,5600
France,Education,2022,3200
France,Defence,2022,1900
Japan,Health,2022,4800
Japan,Education,2022,3000
Japan,Defence,2022,900
Canada,Health,2022,5700
Canada,Education,2022,3500
Canada,Defence,2022,1600
Italy,Health,2022,4500
Italy,Education,2022,2800
Italy,Defence,2022,1400
